;cylinders;displacement;horsepower;weight;acceleration;model year;origin;mpg;model_pred
64;8;318.0;150;4135;13.5;72;1;15.0;14.189519081954074
55;4;97.0;60;1834;19.0;71;2;27.0;29.223792390462613
317;4;97.0;78;2188;15.8;80;2;34.3;33.28144732288101
102;4;97.0;46;1950;21.0;73;2;26.0;25.37020449263119
358;4;120.0;74;2635;18.3;81;3;31.6;32.12394719740682
331;4;97.0;67;2145;18.0;80;3;33.8;35.78030489165951
371;4;135.0;84;2525;16.0;82;1;29.0;29.155125073675613
261;6;258.0;120;3410;15.1;78;1;18.1;17.17740917037009
299;4;141.0;71;3190;24.8;79;2;27.2;26.12848668205099
378;4;105.0;63;2125;14.7;82;1;38.0;36.939850997460375
56;4;91.0;70;1955;20.5;71;1;26.0;27.17578173076064
8;8;455.0;225;4425;10.0;70;1;14.0;12.875720376180658
241;6;146.0;97;2815;14.5;77;3;22.0;23.028514515897406
144;4;76.0;52;1649;16.5;74;3;31.0;34.868259804755255
327;5;121.0;67;2950;19.9;80;2;36.4;36.39999999999991
286;8;302.0;129;3725;13.4;79;1;17.6;16.19521685210644
263;6;231.0;165;3445;13.4;78;1;17.7;16.28780339594245
146;4;90.0;75;2125;14.5;74;1;28.0;25.018254317946813
259;6;200.0;85;3070;16.7;78;1;20.8;21.373310485318097
63;8;400.0;175;4385;12.0;72;1;14.0;13.692278736924749
254;6;200.0;85;2965;15.8;78;1;20.2;21.92932013238141
246;4;78.0;52;1985;19.4;78;3;32.8;35.14560585423652
282;4;140.0;88;2890;17.3;79;1;22.3;25.193506128973432
81;4;97.0;92;2288;17.0;72;3;28.0;24.4376591594394
347;4;85.0;65;1975;19.4;81;3;37.0;37.495772494130144
392;4;151.0;90;2950;17.3;82;1;27.0;27.980905110142807
271;4;156.0;105;2745;16.7;78;1;23.2;23.633239737225303
96;8;360.0;175;3821;11.0;73;1;13.0;14.778220314407623
89;8;318.0;150;3777;12.5;73;1;15.0;14.672857663411056
179;4;121.0;98;2945;14.5;75;2;22.0;22.473731947459914
21;4;107.0;90;2430;14.5;70;2;24.0;24.57092535772319
175;4;90.0;70;1937;14.0;75;2;29.0;31.281771237841397
214;8;302.0;130;3870;15.0;76;1;13.0;14.26111302999405
303;4;85.0;65;2020;19.2;79;3;31.8;36.50192589156585
49;4;122.0;86;2220;14.0;71;1;23.0;23.343688680976413
236;4;140.0;89;2755;15.8;77;1;25.5;25.499999999999993
352;4;98.0;65;2380;20.7;81;1;29.9;33.010279549252544
92;8;351.0;158;4363;13.0;73;1;13.0;13.000000000000034
221;8;305.0;145;3880;12.5;77;1;17.5;17.242768607143397
322;4;86.0;65;2110;17.9;80;3;46.6;38.37574556919242
230;8;350.0;170;4165;11.4;77;1;15.5;17.244296389978434
357;4;119.0;100;2615;14.8;81;3;32.9;30.053835223507214
140;8;304.0;150;4257;15.5;74;1;14.0;13.418809384790732
22;4;104.0;95;2375;17.5;70;2;25.0;23.14342392954576
250;8;318.0;140;3735;13.2;78;1;19.4;19.49472598474724
155;6;250.0;72;3158;19.5;75;1;15.0;18.16277679022731
356;4;108.0;75;2350;16.8;81;3;32.4;32.02167028575597
216;4;98.0;68;2045;18.5;77;3;31.5;30.00525325955885
186;4;101.0;83;2202;15.3;76;2;27.0;30.250574657664338
281;6;200.0;85;2990;18.2;79;1;19.8;23.59116643451025
66;8;304.0;150;3672;11.5;72;1;17.0;16.105883406027207
238;4;98.0;83;2075;15.9;77;1;33.5;30.24942534233567
164;6;231.0;110;3039;15.0;75;1;21.0;18.76585516908051
101;6;198.0;95;2904;16.0;73;1;23.0;18.382645232787603
310;4;89.0;60;1968;18.8;80;3;38.1;36.544313104747424
394;4;97.0;52;2130;24.6;82;2;44.0;36.99535480468842
324;4;85.0;65;2110;19.2;80;3;40.8;38.02460990497493
17;6;200.0;85;2587;16.0;70;1;21.0;20.73180889111077
233;4;97.0;78;1940;14.5;77;2;29.0;30.047196086866954
225;6;250.0;110;3520;16.4;77;1;17.5;18.251926072801865
30;4;140.0;90;2264;15.5;71;1;28.0;23.335907708537736
114;4;98.0;90;2265;15.5;73;2;26.0;24.008743198824938
150;4;108.0;93;2391;15.5;74;3;26.0;26.000000000000036
103;8;400.0;150;4997;14.0;73;1;11.0;10.65389804790243
348;4;89.0;62;2050;17.3;81;3;37.7;33.406595297542744
362;6;146.0;120;2930;13.8;81;3;24.2;25.155324765460886
158;8;318.0;150;4498;14.5;75;1;16.0;13.593301438483389
116;8;400.0;230;4278;9.5;73;1;16.0;16.000000000000064
328;4;146.0;67;3250;21.8;80;2;30.0;30.132187610714304
120;4;121.0;112;2868;15.5;73;2;19.0;17.70646243604394
393;4;140.0;86;2790;15.6;82;1;27.0;28.390631554198194
112;4;122.0;85;2310;18.5;73;1;19.0;21.323487482349897
229;8;400.0;180;4220;11.1;77;1;16.0;16.153435860176778
136;8;302.0;140;4141;14.0;74;1;16.0;16.002027050650483
274;5;131.0;103;2830;15.9;78;2;20.3;20.299999999999983
126;6;200.0;?;2875;17.0;74;1;21.0;19.78102761564445
308;4;151.0;90;2556;13.2;79;1;33.5;27.624777628479727
298;8;350.0;125;3900;17.4;79;1;23.0;19.1035382202043
280;6;231.0;115;3245;15.4;79;1;21.5;23.10214888613735
133;6;250.0;100;3781;17.0;74;1;16.0;16.48661430381452
33;6;232.0;100;2634;13.0;71;1;19.0;20.8911107208586
376;4;91.0;68;2025;18.2;82;3;37.0;35.314960596552844
162;6;258.0;110;3730;19.0;75;1;15.0;15.633622503908157
34;6;225.0;105;3439;15.5;71;1;16.0;18.51125779843363
388;4;156.0;92;2585;14.5;82;1;26.0;28.53326176945535
97;6;225.0;105;3121;16.5;73;1;18.0;18.28879343077749
85;8;350.0;175;4100;13.0;73;1;13.0;13.403535372668866
61;4;122.0;86;2226;16.5;72;1;21.0;22.60433679788285
167;4;97.0;75;2171;16.0;75;3;29.0;28.028217311337166
191;6;225.0;100;3233;15.4;76;1;22.0;19.08527712011105
198;4;91.0;53;1795;17.4;76;3;33.0;32.9738916612588
389;6;232.0;112;2835;14.7;82;1;22.0;23.29353756395612
232;8;351.0;149;4335;14.5;77;1;16.0;16.00000000000002
218;4;79.0;58;1825;18.6;77;2;36.0;34.82176723232649
108;4;97.0;88;2279;19.0;73;3;20.0;24.038308530632833
46;4;140.0;72;2408;19.0;71;1;22.0;21.03756953847482
319;4;120.0;75;2542;17.5;80;3;31.3;32.141149448778165
190;8;351.0;152;4215;12.8;76;1;14.5;14.500000000000018
332;4;89.0;62;1845;15.3;80;2;29.8;34.09340470245722
73;8;307.0;130;4098;14.0;72;1;13.0;13.175589624394991
137;8;350.0;150;4699;14.5;74;1;13.0;12.384070746643797
379;4;98.0;70;2125;17.3;82;1;36.0;34.70775774982098
253;6;200.0;95;3155;18.2;78;1;20.5;20.09346786681975
386;6;181.0;110;2945;16.4;82;1;25.0;25.117580348710753
29;4;97.0;88;2130;14.5;71;3;27.0;26.59798128427755
181;4;91.0;53;1795;17.5;75;3;33.0;33.02610833874117
287;8;351.0;138;3955;13.2;79;1;16.5;16.500000000000025
284;6;225.0;110;3360;16.6;79;1;20.6;21.201345839981464
51;4;79.0;70;2074;19.5;71;2;30.0;28.67627642418173
326;4;90.0;48;2335;23.7;80;2;43.4;44.01747974556043
350;4;105.0;63;2215;14.9;81;1;34.7;34.893545268068394
27;8;318.0;210;4382;13.5;70;1;11.0;11.000000000000032
2;8;318.0;150;3436;11.0;70;1;18.0;16.87627783596602
215;8;318.0;150;3755;14.0;76;1;13.0;15.864721321272292
156;8;400.0;170;4668;11.5;75;1;16.0;14.43923233612441
210;6;156.0;108;2930;15.5;76;3;19.0;18.999999999999964
374;4;151.0;?;3035;20.5;82;1;23.0;26.672926341190166
219;4;122.0;96;2300;15.5;77;1;25.5;25.499999999999993
138;8;318.0;150;4457;13.5;74;1;14.0;13.366248913762725
234;4;151.0;88;2740;16.0;77;1;24.5;23.461301236378084
217;4;111.0;80;2155;14.8;77;1;30.0;28.9431696121633
340;4;156.0;92;2620;14.4;81;1;25.8;26.731934173428463
387;6;262.0;85;3015;17.0;82;1;38.0;26.49618444760275
306;6;173.0;115;2595;11.3;79;1;28.8;26.13003260377176
339;4;151.0;84;2635;16.4;81;1;26.6;26.99988403808043
35;6;250.0;100;3329;15.5;71;1;17.0;18.149134923301723
204;4;85.0;70;1990;17.0;76;3;32.0;31.575133105136345
264;8;302.0;139;3205;11.2;78;1;18.1;19.910132860923245
67;8;429.0;208;4633;11.0;72;1;11.0;11.000000000000068
24;6;199.0;90;2648;15.0;70;1;21.0;20.978941799311666
381;4;107.0;75;2205;14.5;82;3;36.0;34.79844417395988
44;8;400.0;175;5140;12.0;71;1;13.0;11.487570198903551
239;4;97.0;67;1985;16.4;77;3;30.0;32.36459446095104
129;4;79.0;67;1950;19.0;74;3;31.0;29.850094813148743
93;8;318.0;150;4237;14.5;73;1;14.0;12.761342714038513
111;3;70.0;90;2124;13.5;73;3;18.0;20.546817705953767
166;8;302.0;129;3169;12.0;75;1;13.0;14.40478314789367
276;4;121.0;115;2795;15.7;78;2;21.6;24.78069553002021
313;4;151.0;90;2678;16.5;80;1;28.0;28.161433566328025
272;4;151.0;85;2855;17.6;78;1;23.8;23.00210560902385
40;8;351.0;153;4154;13.5;71;1;14.0;14.000000000000014
18;4;97.0;88;2130;14.5;70;3;27.0;26.4788072576768
283;6;232.0;90;3265;18.2;79;1;20.2;22.93991202674173
79;4;96.0;69;2189;18.0;72;2;26.0;26.0
247;4;85.0;70;2070;18.6;78;3;39.4;32.42615677483349
249;8;260.0;110;3365;15.5;78;1;19.9;21.165270941751338
71;3;70.0;97;2330;13.5;72;3;19.0;18.162781172423465
13;8;455.0;225;3086;10.0;70;1;14.0;16.868724448010568
336;4;140.0;?;2905;14.3;80;1;23.6;27.884128560330154
213;8;350.0;145;4055;12.0;76;1;13.0;15.497086321073951
383;4;91.0;67;1965;15.0;82;3;38.0;37.971461611216434
240;4;97.0;78;2190;14.1;77;2;30.5;29.40962798445929
228;6;250.0;98;3525;19.0;77;1;18.5;18.02626805254009
160;6;231.0;110;3907;21.0;75;1;17.0;14.558134880168932
104;8;400.0;167;4906;12.5;73;1;12.0;12.000000000000068
161;6;250.0;105;3897;18.5;75;1;16.0;17.052538675602086
83;4;98.0;80;2164;15.0;72;1;28.0;26.809672515750066
189;8;304.0;120;3962;13.9;76;1;15.5;16.403055508822263
395;4;135.0;84;2295;11.6;82;1;32.0;31.028472014445335
118;4;116.0;75;2158;15.5;73;2;24.0;25.255484998389868
255;4;140.0;88;2720;15.4;78;1;25.1;23.829121685973284
188;8;318.0;150;4190;13.0;76;1;16.0;14.837396116521006
208;8;318.0;150;3940;13.2;76;1;13.0;15.528940069874755
373;4;140.0;92;2865;16.4;82;1;24.0;27.18082687556486
110;4;108.0;94;2379;16.5;73;3;22.0;22.0
149;4;120.0;97;2489;15.0;74;3;24.0;23.19108373228439
157;8;350.0;145;4440;14.0;75;1;15.0;13.888431915946772
152;6;225.0;95;3264;16.0;75;1;19.0;18.927279207563835
16;6;199.0;97;2774;15.5;70;1;18.0;17.844406942761292
268;4;119.0;97;2300;14.7;78;3;27.2;25.896757086728883
75;8;318.0;150;4077;14.0;72;1;14.0;14.227540049186423
109;4;140.0;72;2401;19.5;73;1;21.0;20.022618161634895
325;4;90.0;48;2085;21.7;80;2;44.3;45.302758059321114
205;4;97.0;75;2155;16.4;76;3;28.0;27.88877427396477
278;4;89.0;71;1990;14.9;78;2;31.5;29.979460951077243
252;6;231.0;105;3535;19.2;78;1;19.2;19.379768057312646
139;8;302.0;140;4638;16.0;74;1;14.0;13.980175170241562
237;4;98.0;63;2051;17.0;77;1;30.5;31.366603734471262
318;4;134.0;90;2711;15.5;80;3;29.8;31.258641505381462
248;4;91.0;60;1800;16.4;78;3;36.1;33.51841825385692
307;6;173.0;115;2700;12.9;79;1;26.8;25.385107478397153
19;4;97.0;46;1835;20.5;70;2;26.0;26.629795507368677
226;6;231.0;105;3425;16.9;77;1;20.5;20.179048780924372
311;4;98.0;70;2120;15.5;80;1;32.1;34.3619503097444
3;8;304.0;150;3433;12.0;70;1;16.0;16.611247955936186
275;6;163.0;125;3140;13.6;78;2;17.0;19.489788523802616
125;6;198.0;95;3102;16.5;74;1;20.0;18.648338293194563
77;4;121.0;76;2511;18.0;72;2;22.0;25.40447275302843
184;4;140.0;92;2572;14.9;76;1;25.0;21.916318022111927
300;8;260.0;90;3420;22.2;79;1;23.9;23.46220110924287
377;4;91.0;68;1970;17.6;82;3;31.0;35.64090250633706
344;4;86.0;64;1875;16.4;81;1;39.0;39.00000000000001
182;4;107.0;86;2464;15.5;76;2;28.0;24.42603792940112
354;4;100.0;?;2320;15.8;81;2;34.5;29.92367290571088
80;4;122.0;86;2395;16.0;72;1;22.0;22.235305037541377
258;6;231.0;105;3380;15.8;78;1;20.6;20.75957980206199
11;8;340.0;160;3609;8.0;70;1;14.0;14.967408955834742
297;5;183.0;77;3530;20.1;79;2;25.4;25.400000000000006
86;8;304.0;150;3672;11.5;73;1;14.0;15.251758372996402
266;4;98.0;68;2155;16.5;78;1;30.0;27.43574127064256
36;6;250.0;88;3302;15.5;71;1;19.0;18.70228754414348
380;4;120.0;88;2160;14.5;82;3;36.0;33.6885169076953
58;4;97.5;80;2126;17.0;72;1;25.0;26.383086700008825
41;8;318.0;150;4096;13.0;71;1;14.0;14.487521069754363
270;4;134.0;95;2515;14.8;78;3;21.1;27.075864751666643
50;4;116.0;90;2123;14.0;71;2;28.0;25.74317102898072
209;4;120.0;88;3270;21.9;76;2;19.0;20.496507947118065
316;6;225.0;90;3381;18.7;80;1;19.1;24.24807392166291
315;4;151.0;90;3003;20.1;80;1;24.3;26.22069250370871
329;4;91.0;67;1850;13.8;80;3;44.6;37.791755332193524
123;6;156.0;122;2807;13.5;73;3;20.0;19.999999999999993
222;8;260.0;110;4060;19.0;77;1;17.0;17.99867821808113
62;8;350.0;165;4274;12.0;72;1;13.0;14.085800091987647
301;4;105.0;70;2200;13.2;79;1;34.2;32.955083546766915
130;4;122.0;80;2451;16.5;74;1;26.0;25.692979431695356
187;8;305.0;140;4215;13.0;76;1;17.5;16.59210276691279
23;4;121.0;113;2234;12.5;70;2;26.0;26.0
43;8;400.0;170;4746;12.0;71;1;13.0;13.362295433678854
0;8;307.0;130;3504;12.0;70;1;18.0;15.414290433235795
201;6;250.0;110;3645;16.2;76;1;18.5;16.56121548311644
375;4;105.0;74;1980;15.3;82;2;36.0;35.26468250344983
98;6;250.0;100;3278;18.0;73;1;16.0;16.725636522557718
385;4;91.0;67;1995;16.2;82;3;38.0;37.55814412902394
178;4;120.0;88;2957;17.0;75;2;23.0;22.83151169323596
256;6;225.0;100;3430;17.2;78;1;20.5;19.533421670449787
94;8;440.0;215;4735;11.0;73;1;13.0;11.3467433130837
367;4;112.0;88;2605;19.6;82;1;28.0;28.052054331727604
95;8;455.0;225;4951;11.0;73;1;12.0;10.255555175809029
349;4;91.0;68;1985;16.0;81;3;34.1;34.304035376749795
169;6;232.0;100;2914;16.0;75;1;20.0;19.955885871990304
69;8;350.0;160;4456;13.5;72;1;12.0;11.03259104416531
305;4;151.0;90;2670;16.0;79;1;28.4;26.529158684473806
48;6;250.0;88;3139;14.5;71;1;18.0;19.4582457112774
207;4;130.0;102;3150;15.7;76;2;20.0;19.999999999999986
279;4;98.0;68;2135;16.6;78;3;29.5;30.3991069901589
227;6;225.0;100;3630;17.7;77;1;19.0;18.652595923484526
148;4;116.0;75;2246;14.0;74;2;26.0;26.388965282149606
143;4;97.0;78;2300;14.5;74;2;26.0;27.06172860579275
180;4;121.0;115;2671;13.5;75;2;25.0;24.30201550167351
131;4;71.0;65;1836;21.0;74;3;32.0;32.11525121311029
355;4;107.0;75;2210;14.4;81;3;33.7;33.08657895444897
396;4;120.0;79;2625;18.6;82;1;28.0;29.60162711703066
262;8;305.0;145;3425;13.2;78;1;19.2;18.560169448817977
203;4;97.0;71;1825;12.2;76;2;29.5;29.68112225958894
84;4;97.0;88;2100;16.5;72;3;27.0;26.100923880368377
121;8;318.0;150;3399;11.0;73;1;15.0;16.204902489608045
343;4;79.0;58;1755;16.9;81;3;39.1;40.27823276767345
364;8;350.0;105;3725;19.0;81;1;26.6;24.25554422890941
91;8;400.0;150;4464;12.0;73;1;13.0;12.783104780130525
82;4;120.0;97;2506;14.5;72;3;23.0;23.13836867321038
267;4;134.0;95;2560;14.2;78;3;27.5;27.103598739730927
119;4;114.0;91;2582;14.0;73;2;20.0;20.00000000000001
291;8;267.0;125;3605;15.0;79;1;19.2;20.606673255992998
57;4;113.0;95;2278;15.5;72;3;24.0;25.389208174615618
321;4;108.0;75;2265;15.2;80;3;32.2;33.58439608100721
257;6;232.0;90;3210;17.2;78;1;19.4;20.989697144506273
353;4;105.0;74;2190;14.2;81;2;33.0;33.21137029914348
42;8;383.0;180;4955;11.5;71;1;12.0;11.846564139823325
105;8;360.0;170;4654;13.0;73;1;13.0;12.45417584021849
366;6;225.0;85;3465;16.6;81;1;17.6;23.527430329343883
273;4;119.0;97;2405;14.9;78;3;23.9;25.529662917976864
351;4;98.0;65;2045;16.2;81;1;34.4;35.22373273330124
38;8;350.0;165;4209;12.0;71;1;14.0;14.326396512069905
53;4;71.0;65;1773;19.0;71;3;31.0;32.752682644472166
345;4;81.0;60;1760;16.1;81;3;35.1;37.01347625093298
128;6;250.0;100;3336;17.0;74;1;15.0;17.813639555468225
290;8;351.0;142;4054;14.3;79;1;15.5;15.500000000000021
28;8;304.0;193;4732;18.5;70;1;9.0;9.000000000000007
183;4;116.0;81;2220;16.9;76;2;25.0;27.180006972286733
163;6;225.0;95;3785;19.0;75;1;18.0;16.5639781712117
151;4;79.0;67;2000;16.0;74;2;31.0;29.168911018187202
244;4;90.0;48;1985;21.5;78;2;43.1;41.47976219511827
202;6;258.0;95;3193;17.8;76;1;17.5;18.58367646175647
31;4;113.0;95;2228;14.0;71;3;25.0;25.989892288535522
32;4;98.0;?;2046;19.0;71;1;25.0;22.838244577124343
127;6;232.0;100;2901;16.0;74;1;19.0;19.375455874457636
185;4;98.0;79;2255;17.7;76;1;26.0;24.398372882969376
370;4;112.0;85;2575;16.2;82;1;31.0;29.225186188359224
288;8;318.0;135;3830;15.2;79;1;18.2;18.20000000000001
360;6;145.0;76;3160;19.6;81;2;30.7;27.29552724697158
147;4;90.0;75;2108;15.5;74;2;24.0;26.388064872261317
285;8;305.0;130;3840;15.4;79;1;17.0;18.149006912375263
368;4;112.0;88;2640;18.6;82;1;27.0;28.217560813856053
177;4;115.0;95;2694;15.0;75;2;23.0;23.698626882572007
99;6;232.0;100;2945;16.0;73;1;18.0;18.25316001612322
338;4;135.0;84;2490;15.7;81;1;27.2;27.61651887379876
335;4;122.0;88;2500;15.1;80;2;35.0;30.325049594174942
197;4;90.0;70;1937;14.2;76;2;29.0;31.148590783939895
243;3;80.0;110;2720;13.5;77;3;21.5;19.790401121622835
115;8;350.0;145;4082;13.0;73;1;15.0;13.615614130300656
265;8;318.0;140;4080;13.7;78;1;17.5;18.330969027448255
72;8;304.0;150;3892;12.5;72;1;15.0;15.179946723512929
333;6;168.0;132;2910;11.4;80;3;32.7;32.699999999999974
25;8;360.0;215;4615;14.0;70;1;10.0;11.653256686916354
165;8;262.0;110;3221;13.5;75;1;20.0;20.6928419129384
337;4;107.0;72;2290;17.0;80;3;32.4;31.177035509662936
382;4;108.0;70;2245;16.9;82;3;34.0;37.39149833697391
174;6;171.0;97;2984;14.5;75;1;18.0;18.308424958717385
384;4;91.0;67;1965;15.7;82;3;32.0;37.78254613290513
39;8;400.0;175;4464;11.5;71;1;14.0;13.638395377095515
193;6;200.0;81;3012;17.6;76;1;24.0;21.81999302771327
314;4;140.0;88;2870;18.1;80;1;26.4;26.8283154524901
88;8;302.0;137;4042;14.5;73;1;14.0;14.000000000000025
70;8;400.0;190;4422;12.5;72;1;13.0;12.645036377578041
87;8;350.0;145;3988;13.0;73;1;13.0;13.895929576717394
292;8;360.0;150;3940;13.0;79;1;18.5;19.500711818227483
242;4;121.0;110;2600;12.8;77;2;21.5;24.763127507838263
277;6;163.0;133;3410;15.8;78;2;16.2;16.19999999999996
211;6;168.0;120;3820;16.7;76;2;16.5;15.564210555346815
9;8;390.0;190;3850;8.5;70;1;15.0;15.35496362242202
359;4;141.0;80;3230;20.4;81;2;28.1;29.271091740382474
195;4;85.0;52;2035;22.2;76;1;29.0;29.790779536319707
251;8;302.0;139;3570;12.8;78;1;20.2;18.389867139076806
323;4;156.0;105;2800;14.4;80;1;27.9;28.26512730302818
192;6;250.0;105;3353;14.5;76;1;22.0;19.67510218572481
117;4;68.0;49;1867;19.5;73;2;29.0;28.999999999999993
47;6;250.0;100;3282;15.0;71;1;19.0;18.424232273875305
172;4;90.0;71;2223;16.5;75;2;25.0;27.410930107282688
65;8;351.0;153;4129;13.0;72;1;14.0;14.162730336830908
132;4;140.0;75;2542;17.0;74;1;25.0;23.11466080094509
74;8;302.0;140;4294;16.0;72;1;13.0;14.869051081211296
78;4;120.0;87;2979;19.5;72;2;21.0;20.862414964551032
37;6;232.0;100;3288;15.5;71;1;18.0;18.26613277598417
54;4;72.0;69;1613;18.0;71;3;35.0;29.09913330473367
294;4;86.0;65;1975;15.2;79;3;34.1;37.715929108329455
60;4;140.0;90;2408;19.5;72;1;20.0;21.780210011375026
12;8;400.0;150;3761;9.5;70;1;15.0;16.335916884042078
341;6;173.0;110;2725;12.6;81;1;23.5;25.07289513102883
330;4;85.0;?;1835;17.3;80;2;40.9;31.8382152021586
312;4;86.0;65;2019;16.4;80;3;37.2;39.051933660053194
100;6;250.0;88;3021;16.5;73;1;18.0;18.369486245450965
59;4;97.0;54;2254;23.5;72;2;23.0;21.938174817536478
223;8;318.0;145;4140;13.7;77;1;15.5;16.14737713487814
295;4;98.0;80;1915;14.4;79;1;35.7;32.29659486637225
397;4;119.0;82;2720;19.4;82;1;31.0;27.292503022193895
372;4;151.0;90;2735;18.0;82;1;27.0;28.433136663529368
135;6;225.0;105;3613;16.5;74;1;18.0;17.812694828693054
304;4;91.0;69;2130;14.7;79;2;37.3;31.64753812178681
231;8;400.0;190;4325;12.2;77;1;15.5;15.064140140694779
170;4;140.0;78;2592;18.5;75;1;23.0;24.154230242373526
173;4;119.0;97;2545;17.0;75;3;24.0;23.103233180948706
76;4;121.0;112;2933;14.5;72;2;18.0;18.63663157468721
302;4;105.0;70;2150;14.9;79;1;34.5;32.645392774585154
361;6;168.0;116;2900;12.6;81;3;25.4;28.567137585747062
245;4;98.0;66;1800;14.4;78;1;36.1;26.357586749696694
369;4;112.0;88;2395;18.0;82;1;34.0;29.110097774908148
342;4;135.0;84;2385;12.9;81;1;30.0;28.685299104849882
134;6;258.0;110;3632;18.0;74;1;16.0;15.576548494567856
260;6;225.0;110;3620;18.7;78;1;18.6;17.475150314663903
320;4;119.0;92;2434;15.0;80;3;37.0;30.92200024634191
154;6;250.0;72;3432;21.0;75;1;15.0;16.940868202619054
220;4;85.0;70;1945;16.8;77;3;33.5;33.135229059337995
363;6;231.0;110;3415;15.8;81;1;22.4;22.168619573963824
171;4;134.0;96;2702;13.5;75;3;24.0;26.482464386081077
176;6;232.0;90;3211;17.0;75;1;19.0;19.598498704548803
289;8;350.0;155;4360;14.9;79;1;16.9;21.857332565924104
293;4;89.0;71;1925;14.0;79;2;31.9;32.80029592336442
90;8;429.0;198;4952;11.5;73;1;12.0;15.596067042059854
6;8;454.0;220;4354;9.0;70;1;14.0;18.843076654863705
1;8;350.0;165;3693;11.5;70;1;15.0;15.880914988909222
296;4;121.0;80;2670;15.0;79;1;27.4;29.889928065110873
334;3;70.0;100;2420;12.5;80;3;23.7;26.363485146285186
390;4;144.0;96;2665;13.9;82;3;32.0;32.95164828913713
122;4;121.0;110;2660;14.0;73;2;24.0;21.35734431346971
194;6;232.0;90;3085;17.6;76;1;22.5;19.73310853012225
212;8;350.0;180;4380;12.1;76;1;16.5;14.019865738816405
113;6;155.0;107;2472;14.0;73;1;21.0;20.180909249088806
142;4;79.0;67;1963;15.5;74;2;26.0;29.414187576588787
309;4;98.0;76;2144;14.7;80;2;41.5;33.75629502144694
141;4;98.0;83;2219;16.5;74;2;29.0;29.335153881690808
224;8;302.0;130;4295;14.9;77;1;15.0;14.392643826638967
52;4;88.0;76;2065;14.5;71;2;30.0;27.716161855178463
10;8;383.0;170;3563;10.0;70;1;15.0;17.30570486833097
26;8;307.0;200;4376;15.0;70;1;10.0;17.115178322717167
45;6;258.0;110;2962;13.5;71;1;18.0;18.69880014759579
365;6;200.0;88;3060;17.1;81;1;20.2;24.426836944213978
391;4;135.0;84;2370;13.0;82;1;36.0;30.42698511653279
4;8;302.0;140;3449;10.5;70;1;17.0;18.800831165125626
200;6;250.0;78;3574;21.0;76;1;18.0;19.259236907180707
206;4;140.0;72;2565;13.6;76;1;26.5;22.6569215701022
107;6;232.0;100;2789;15.0;73;1;18.0;18.988243628736743
15;6;198.0;95;2833;15.5;70;1;22.0;19.511024761968322
106;8;350.0;180;4499;12.5;73;1;12.0;12.025969812899024
159;8;351.0;148;4657;13.5;75;1;14.0;17.523477922508228
5;8;429.0;198;4341;10.0;70;1;15.0;18.60464860325864
153;6;250.0;105;3459;16.0;75;1;18.0;19.033387509561457
168;4;140.0;83;2639;17.0;75;1;23.0;26.990234136958627
7;8;440.0;215;4312;8.5;70;1;14.0;14.064573236179434
346;4;97.0;67;2065;17.8;81;3;32.3;35.195404825760924
68;8;350.0;155;4502;13.5;72;1;13.0;17.2292512010031
20;4;110.0;87;2672;17.5;70;2;25.0;22.242332707376335
199;6;225.0;100;3651;17.7;76;1;20.0;17.21804572144175
14;4;113.0;95;2372;15.0;70;3;24.0;25.17141959992764
269;4;105.0;75;2230;14.5;78;1;30.9;26.77091473520244
235;4;97.0;75;2265;18.2;77;3;26.0;28.44688944003967
145;4;83.0;61;2003;19.0;74;3;32.0;25.3757134224291
196;4;98.0;60;2164;22.1;76;1;24.5;26.444569223021283
124;8;350.0;180;3664;11.0;73;1;11.0;14.92082484135611
